Code,Latitude,Longitude,Geofence Radius (m)
SITE-075,28.498168,77.159345,200
SITE-076,28.515300,77.135300,200
OFFICE,28.535500,77.273000,200
SITE-077,28.769789,77.197257,200
SITE-001,27.177600,78.009000,200
SITE-002,28.381800,77.111800,200
SITE-003,28.512700,77.132700,200
SITE-004,28.583600,77.173600,200
SITE-005,28.524500,77.154500,200
SITE-006,28.515400,77.135400,200
SITE-007,28.676300,77.316300,200
SITE-008,28.517200,77.137200,200
SITE-009,12.943300,77.632600,200
SITE-010,28.557000,77.160000,200
SITE-011,28.120900,77.550900,200
SITE-012,28.461300,77.028400,200
SITE-013,28.702700,77.207700,200
SITE-014,28.513600,77.133600,200
SITE-015,28.561500,77.164500,200
SITE-016,28.562400,77.165400,200
SITE-017,28.496300,77.076300,200
SITE-018,28.542700,77.280200,200
SITE-019,26.226400,78.190900,200
SITE-020,28.410000,77.310000,200
SITE-021,30.705500,76.718800,200
SITE-022,28.571800,77.221800,200
SITE-023,28.512700,77.132700,200
SITE-024,28.383600,77.113600,200
SITE-025,28.474500,77.094500,200
SITE-026,26.455300,80.337300,200
SITE-027,28.506300,77.156300,200
SITE-028,26.853900,80.953400,200
SITE-029,26.854800,80.954300,200
SITE-030,26.846700,80.946200,200
SITE-031,26.847600,80.947100,200
SITE-032,28.491800,77.181800,200
SITE-033,30.903700,75.860000,200
SITE-034,28.570600,77.263600,200
SITE-035,31.638500,74.876800,200
SITE-036,28.515400,77.135400,200
SITE-037,26.918700,75.793600,200
SITE-038,28.572200,77.277200,200
SITE-039,28.543600,77.281100,200
SITE-040,28.490000,77.180000,200
SITE-041,22.720500,75.858600,200
SITE-042,28.410700,77.319600,200
SITE-043,28.593200,77.252700,200
SITE-044,28.539100,77.276600,200
SITE-045,28.514500,77.134500,200
SITE-046,30.216400,74.950900,200
SITE-047,28.526300,77.156300,200
SITE-048,28.517200,77.137200,200
SITE-049,28.498100,77.188100,200
SITE-050,28.567000,77.260000,200
SITE-051,28.520900,77.150900,200
SITE-052,28.631800,77.101800,200
SITE-053,28.633100,77.220400,200
SITE-054,28.383600,77.113600,200
SITE-055,28.504500,77.154500,200
SITE-056,21.256800,81.635000,200
SITE-057,28.516300,77.136300,200
SITE-058,28.587200,77.177200,200
SITE-059,28.557500,77.208200,200
SITE-060,28.459500,77.026600,200
SITE-061,28.510900,77.130900,200
SITE-062,28.511800,77.131800,200
SITE-063,28.422700,77.132700,200
SITE-064,28.493600,77.183600,200
SITE-065,28.464000,77.031100,200
SITE-066,28.540900,77.278400,200
SITE-067,28.496300,77.186300,200
SITE-068,28.564200,77.167200,200
SITE-069,28.498100,77.188100,200
SITE-070,28.470000,77.090000,200
SITE-071,28.590900,77.230900,200
SITE-072,28.471800,77.091800,200
SITE-073,28.462200,77.029300,200
SITE-074,28.682520,77.079079,200
